Total Time step,,
299,,
time,F3,F5
104.4215,12780100,264930000
104.8082,10212600,463434000
105.195,7199560,641655000
105.5817,3871370,791811000
105.9685,372291,907360000
106.3552,-3145750,983277000
106.742,-6529400,1016270000
107.1287,-9630310,1004890000
107.5155,-12311700,949643000
107.9022,-14454700,852897000
108.2889,-15964400,718860000
108.6757,-16773800,553379000
109.0624,-16847400,363681000
109.4492,-16182100,158054000
109.8359,-14807600,-54518800
110.2227,-12785200,-264741000
110.6094,-10204600,-463404000
110.9962,-7180160,-641797000
111.3829,-3845010,-792093000
111.7697,-345088,-907711000
112.1564,3167430,-983607000
112.5432,6540440,-1016490000
112.9299,9628080,-1004960000
113.3166,12296700,-949528000
113.7034,14430400,-852637000
114.0901,15936300,-718520000
114.4769,16748400,-553041000
114.8636,16830600,-363427000
115.2504,16177900,-157947000
